ID;ARTICLE;NAME;BRAND;MODEL;QUANTITY;PRICE;Ширина;Диаметр;KOL_VO_KREPEZHNYKH_OTVERSTIY;PCD;PCD2;ET;DIA;LZ2;WHEEL_TYPE;COLOR;SHOP_LENGTH;SHOP_WIDTH;SHOP_HEIGHT;SHOP_WEIGHT;CATEGORY;Код поставщика;Год производства;Товар SALE;Срок доставки;Расшифровка цвета;Артикул поставщика;Изображение ММ 1;Изображение ММ 1_SHA1;PRODUCT_IMAGE;PRODUCT_IMAGE_SHA1;WAREHOUSE_ID;WAREHOUSE_NAME
w450408;2050405;Скад Крит 5.5x14 4*100 ET45 DIA67.1 Алмаз Литой;Скад;Крит;4;7775.00;5.5;14;4;100;;45;67.1;;Литой;Алмаз;360;360;140;6500;легковые;00000024806;;;0;Черный и комбинации;00000024806;https://lk.selectyre.ru/media/wheels/big/skad/krit_59454.png;72b51b9064c58e480e9ca1430d892058fb9548fe;https://lk.selectyre.ru/media/wheels/big/skad/krit_59454.png;72b51b9064c58e480e9ca1430d892058fb9548fe;zapaska_novosibirsk;Новосибирск
w450409;2050005;Скад Крит 5.5x14 4*98 ET38 DIA58.6 Алмаз Литой;Скад;Крит;4;7775.00;5.5;14;4;98;;38;58.6;;Литой;Алмаз;360;360;140;6500;легковые;00000024803;;;0;Черный и комбинации;00000024803;https://lk.selectyre.ru/media/wheels/big/skad/krit_59454.png;72b51b9064c58e480e9ca1430d892058fb9548fe;https://lk.selectyre.ru/media/wheels/big/skad/krit_59454.png;72b51b9064c58e480e9ca1430d892058fb9548fe;zapaska_novosibirsk;Новосибирск
w450424;14394;K&K Триал 6.5x15 5*139.7 ET5 DIA110.1 Сильвер Литой;K&K;Триал;9;8136.00;6.5;15;5;139.7;;5;110.1;;Литой;Сильвер;390;390;170;8000;легковые;00000023135;;;0;Серебристый;00000023135;https://lk.selectyre.ru/media/wheels/big/kk/trial_39339.jpg;5edb41b418ebd144031db1e13a8857c4f719ff2c;https://lk.selectyre.ru/media/wheels/big/kk/trial_39339.jpg;5edb41b418ebd144031db1e13a8857c4f719ff2c;zapaska_novosibirsk;Новосибирск
w450438;WHS087538;Скад Монако 5.5x14 4*98 ET38 DIA58.6 Алмаз Литой;Скад;Монако;4;7775.00;5.5;14;4;98;;38;58.6;;Литой;Алмаз;360;360;140;6500;легковые;WHS087538;;;0;Черный и комбинации;WHS087538;https://lk.selectyre.ru/media/wheels/big/skad/monako_34855.png;c27611c0846bae22300ec8d9ce2ef000849a3e86;https://lk.selectyre.ru/media/wheels/big/skad/monako_34855.png;c27611c0846bae22300ec8d9ce2ef000849a3e86;fortochki_novosibirsk;Новосибирск
w450439;1670805;Скад Монако 5.5x14 4*100 ET43 DIA67.1 Алмаз Литой;Скад;Монако;4;8543.00;5.5;14;4;100;;43;67.1;;Литой;Алмаз;360;360;140;6500;легковые;7040466;;;0;Черный и комбинации;7040466;https://lk.selectyre.ru/media/wheels/big/skad/monako_34855.png;c27611c0846bae22300ec8d9ce2ef000849a3e86;https://lk.selectyre.ru/media/wheels/big/skad/monako_34855.png;c27611c0846bae22300ec8d9ce2ef000849a3e86;brineks_novosibirsk-2;Новосибирск 2
w450466;WHS116162;iFree Дайс 6x15 4*100 ET48 DIA54.1 Блэк Джек Литой;iFree;Дайс;4;7414.00;6;15;4;100;;48;54.1;;Литой;Блэк Джек;390;390;150;8000;легковые;WHS116162;;;0;Черный и комбинации;WHS116162;https://lk.selectyre.ru/media/wheels/big/ifree/days_45244.jpg;c20bf18710d42b7e6171c154df6e37a9bda2dd6d;https://lk.selectyre.ru/media/wheels/big/ifree/days_45244.jpg;c20bf18710d42b7e6171c154df6e37a9bda2dd6d;fortochki_novosibirsk;Новосибирск
w450547;275808;iFree S.U. 6x15 5*114.3 ET45 DIA67.1 Блэк Джек Литой;iFree;S.U.;8;7424.00;6;15;5;114.3;;45;67.1;;Литой;Блэк Джек;390;390;150;8000;легковые;КА-00029382;;;0;Черный и комбинации;КА-00029382;https://lk.selectyre.ru/media/wheels/big/ifree/su_43492.png;35946059efc123e8134028d1e7a4b2b051df4838;https://lk.selectyre.ru/media/wheels/big/ifree/su_43492.png;35946059efc123e8134028d1e7a4b2b051df4838;zapaska_novosibirsk;Новосибирск
w450558;16009 AM;Magnetto 16009 6.5x16 5*108 ET50 DIA63.3 Black Штампованный;Magnetto;16009;14;3320.00;6.5;16;5;108;;50;63.3;;Штампованный;Black;410;410;170;9700;легковые;7044861;;;0;Черный и комбинации;7044861;https://lk.selectyre.ru/media/wheels/big/magnetto/16009_93236.jpg;8d4e68fc210323074b81ab401db268f686d00f57;https://lk.selectyre.ru/media/wheels/big/magnetto/16009_93236.jpg;8d4e68fc210323074b81ab401db268f686d00f57;brineks_novosibirsk-2;Новосибирск 2
w450559;265208;iFree Дайс 6x15 4*100 ET48 DIA54.1 Нео-классик Литой;iFree;Дайс;14;6882.00;6;15;4;100;;48;54.1;;Литой;Нео-классик;390;390;150;8000;легковые;00000024816;;;0;Серебристый;00000024816;https://lk.selectyre.ru/media/wheels/big/ifree/days_90324.jpg;8a5b543d70c5101d93aa8371e311e38c4c17f1df;https://lk.selectyre.ru/media/wheels/big/ifree/days_90324.jpg;8a5b543d70c5101d93aa8371e311e38c4c17f1df;zapaska_novosibirsk;Новосибирск
w450564;WHS127667;iFree Дайс 6x15 4*100 ET50 DIA60.1 Нео-классик Литой;iFree;Дайс;4;6880.00;6;15;4;100;;50;60.1;;Литой;Нео-классик;390;390;150;8000;легковые;WHS127667;;;0;Серебристый;WHS127667;https://lk.selectyre.ru/media/wheels/big/ifree/days_90324.jpg;8a5b543d70c5101d93aa8371e311e38c4c17f1df;https://lk.selectyre.ru/media/wheels/big/ifree/days_90324.jpg;8a5b543d70c5101d93aa8371e311e38c4c17f1df;fortochki_novosibirsk;Новосибирск
